TYPE,APT,RWY,PRO,RTE
###本文件系2511导航数据，若需更新导航数据版本请自行更新，格式不变
STAR,ZBAA,18R,GUVB4E,GUVBA AA243 AA242 AA241 AA580 CI1RZ FI1RZ
STAR,ZBAA,18R,GUVB6J,GUVBA AA321 AA322 AA323 AA324 AA325 AA317 AA241 AA580 CI1RZ FI1RZ
STAR,ZBAA,18R,OSUB6JxILSY,OSUBA AA169 AA284 AA283 AA262 AA261 AA585 CI1RY FI1RY
STAR,ZBAA,19,AVBO6J,AVBOX AA146 AA145 AA144 AA265 AA264 AA263 AA262 AA261 AA520 CI19Z FI19Z
STAR,ZBAA,19,DUGE4AxILSY,DUGEB AA126 AA248 AA247 AA311 AA312 AA313 AA314 AA315 AA316 AA317 AA241 AA587 CI19Y FI19Y
STAR,ZBAA,19,DUGE6JxILSY,DUGEB AA126 AA248 AA247 AA246 AA245 AA244 AA243 AA242 AA241 AA587 CI19Y FI19Y
STAR,ZBAA,19,DUMA2G,DUMAP AA147 AA146 AA145 AA144 AA265 AA264 AA263 AA262 AA261 AA520 CI19Z FI19Z
STAR,ZBAA,19,GUVB4ExILSY,GUVBA AA243 AA242 AA241 AA587 CI19Y FI19Y
STAR,ZBAA,19,GUVB6JxILSY,GUVBA AA321 AA322 AA323 AA324 AA325 AA317 AA241 AA587 CI19Y FI19Y
STAR,ZBAA,19,OSUB6J,OSUBA AA169 AA284 AA283 AA262 AA261 AA520 CI19Z FI19Z
STAR,ZBAA,36L,AVBO7X,AVBOX AA124 AA122 AA440 CI36L FI3LZ
STAR,ZBAA,36L,AVBO8YxILSY,AVBOX AA146 AA145 AA144 AA143 AA142 AA141 AA440 CI36L FI3LY
STAR,ZBAA,36L,DUGE5D,DUGEB AA126 AA125 AA122 AA440 CI36L FI3LZ
STAR,ZBAA,36L,DUMA9ZxILSY,DUMAP AA147 AA146 AA145 AA144 AA143 AA142 AA141 AA440 CI36L FI3LY
STAR,ZBAA,36L,GUVB7XxILSY,GUVBA AA168 AA167 AA166 AA165 AA142 AA141 AA440 CI36L FI3LY
STAR,ZBAA,36L,GUVB9Y,GUVBA AA128 AA127 AA123 AA440 CI36L FI3LZ
STAR,ZBAA,36L,OSUB7XxILSY,OSUBA AA169 AA166 AA165 AA142 AA141 AA440 CI36L FI3LY
STAR,ZBAA,36R,AVBO7X,AVBOX AA124 AA122 AA492 CI36R FI3RZ
STAR,ZBAA,36R,AVBO8YxILSY,AVBOX AA146 AA145 AA144 AA143 AA142 AA141 AA492 CI36R FI3RY
